profile,route,events,event_count,mission_mode,mission_success,risk_index,distance_nm,fuel_required_kg,revised_fuel_required_kg,revised_fuel_margin_kg,critical_collision_alerts,critical_cyber_alerts,critical_collision_truth,critical_cyber_truth,top_maintenance_prob_truth,atc_conflicts,emergency_triggered,actions
no_cyber,SFO-LAX,"gnss_spoofing,convective_weather_burst",2,nominal,0,0.5,293.55,3020.8,3693.9,1906.1,0,0,0,2,0.1158,0,0,Cyber mode hardening enabled; external nav packets isolated | Dynamic reroute generated with storm-cell standoff
no_cyber,SFO-LAX,none,0,nominal,1,0.0,293.55,3069.7,3069.7,2530.3,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SFO-LAX,convective_weather_burst,1,nominal,1,0.05,293.55,2884.5,3424.5,2175.5,0,0,0,0,0.1158,0,0,Dynamic reroute generated with storm-cell standoff
no_cyber,SFO-LAX,none,0,nominal,1,0.0,293.55,3088.2,3088.2,2511.8,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SFO-LAX,none,0,nominal,1,0.0,293.55,2887.7,2887.7,2712.3,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SFO-LAX,none,0,nominal,1,0.0,293.55,2776.9,2776.9,2823.1,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SFO-LAX,gnss_spoofing,1,nominal,0,0.45,293.55,2813.9,2898.3,2701.7,0,0,0,2,0.1158,0,0,Cyber mode hardening enabled; external nav packets isolated
no_cyber,SFO-LAX,none,0,nominal,1,0.0,293.55,2934.8,2934.8,2665.2,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SFO-LAX,none,0,nominal,1,0.0,293.55,2931.6,2931.6,2668.4,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SFO-LAX,none,0,nominal,1,0.0,293.55,3047.0,3047.0,2553.0,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SEA-LAS,none,0,nominal,1,0.0,753.11,5261.3,5261.3,719.0,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SEA-LAS,none,0,nominal,1,0.0,753.11,6230.7,6230.7,405.8,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SEA-LAS,none,0,nominal,1,0.0,753.11,5723.4,5723.4,921.5,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
no_cyber,SEA-LAS,none,0,nominal,1,0.0,753.11,5469.9,5469.9,607.0,0,0,0,0,0.1158,0,0,No unconventional conditions triggered
